FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         3.04%     787.000us        99.97%      25.882ms      12.941ms             2  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...        90.96%      23.548ms        91.17%      23.604ms      11.802ms             2  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         0.93%     241.000us         2.54%     657.000us     328.500us             2  
[pl][profile][Callback]TQDMProgressBar.on_validation...         2.00%     517.000us         2.00%     519.000us     259.500us             2  
[pl][module]lightning_pod.core.module.Encoder: encod...         0.08%      20.000us         0.76%     196.000us      98.000us             2  
[pl][module]torch.nn.modules.container.Sequential: e...         0.18%      46.000us         0.66%     170.000us      85.000us             2  
[pl][module]lightning_pod.core.module.Decoder: decod...         0.06%      15.000us         0.47%     121.000us      60.500us             2  
[pl][profile][Callback]ModelCheckpoint{'monitor': No...         0.40%     104.000us         0.41%     107.000us      53.500us             2  
[pl][module]torch.nn.modules.container.Sequential: d...         0.12%      30.000us         0.40%     104.000us      52.000us             2  
                                           aten::linear         0.04%      10.000us         0.37%      97.000us      12.125us             8  
                                            aten::empty         0.32%      82.000us         0.32%      82.000us       0.621us           132  
                                            aten::zeros         0.17%      43.000us         0.29%      76.000us       1.357us            56  
                                            aten::addmm         0.22%      57.000us         0.27%      71.000us       8.875us             8  
[pl][module]torch.nn.modules.linear.Linear: encoder....         0.06%      16.000us         0.26%      68.000us      34.000us             2  
[pl][profile][Strategy]SingleDeviceStrategy.batch_to...         0.25%      65.000us         0.25%      66.000us      33.000us             2  
                                             aten::mean         0.03%       8.000us         0.21%      55.000us      13.750us             4  
                                         aten::mse_loss         0.04%      10.000us         0.16%      41.000us      20.500us             2  
[pl][module]torch.nn.modules.linear.Linear: decoder....         0.03%       9.000us         0.13%      34.000us      17.000us             2  
                                             aten::div_         0.05%      13.000us         0.13%      34.000us       8.500us             4  
                                               aten::to         0.02%       6.000us         0.10%      27.000us       1.038us            26  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 25.889ms
