PREDICT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         5.72%     717.000us        99.95%      12.531ms       4.177ms             3  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...        83.42%      10.458ms        83.81%      10.507ms       3.502ms             3  
[pl][profile][Strategy]SingleDeviceStrategy.predict_...         0.65%      81.000us         5.10%     639.000us     213.000us             3  
[pl][profile][Callback]TQDMProgressBar.on_predict_ba...         2.83%     355.000us         2.86%     358.000us     119.333us             3  
[pl][module]lightning_pod.core.module.Decoder: decod...         0.21%      26.000us         2.25%     282.000us      94.000us             3  
[pl][module]lightning_pod.core.module.Encoder: encod...         0.23%      29.000us         2.09%     262.000us      87.333us             3  
[pl][module]torch.nn.modules.container.Sequential: d...         0.64%      80.000us         2.00%     251.000us      83.667us             3  
[pl][module]torch.nn.modules.container.Sequential: e...         0.46%      58.000us         1.83%     230.000us      76.667us             3  
                                           aten::linear         0.09%      11.000us         1.16%     146.000us      12.167us            12  
                                            aten::zeros         0.57%      71.000us         0.91%     114.000us       1.462us            78  
                                            aten::addmm         0.73%      92.000us         0.91%     114.000us       9.500us            12  
[pl][profile][Strategy]SingleDeviceStrategy.batch_to...         0.79%      99.000us         0.86%     108.000us      36.000us             3  
                                            aten::empty         0.73%      92.000us         0.73%      92.000us       0.517us           178  
[pl][module]torch.nn.modules.linear.Linear: encoder....         0.18%      22.000us         0.69%      87.000us      29.000us             3  
[pl][module]torch.nn.modules.linear.Linear: decoder....         0.25%      31.000us         0.49%      62.000us      20.667us             3  
[pl][module]torch.nn.modules.linear.Linear: decoder....         0.13%      16.000us         0.41%      52.000us      17.333us             3  
[pl][module]torch.nn.modules.activation.ReLU: encode...         0.17%      21.000us         0.31%      39.000us      13.000us             3  
[pl][module]torch.nn.modules.linear.Linear: encoder....         0.12%      15.000us         0.29%      36.000us      12.000us             3  
                                             aten::relu         0.07%       9.000us         0.20%      25.000us       4.167us             6  
[pl][profile][Callback]EarlyStopping{'monitor': 'los...         0.13%      16.000us         0.19%      24.000us       8.000us             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.537ms
